DESCRIÇÃO,ESTOQUE,P/CUSTO,P/VENDA
BERMUDA  C  CINTO,2,"63,20",100
BERMUDA CICLISTA LISTRADA FIO TINTO,1,"69,56",110
BERMUDA CLASSICA,1,"121,98",200
BERMUDA COS RECORTES C/ BOTAO,1,"103,19",200
BERMUDA FEMININA CHINO G4C18,3,"149,35",220
BERMUDA FEMININA JUSTA G4C25,1,"174,32",250
BERMUDA FEMININA SOLTA G4C18,1,"164,90",250
BERMUDA FEMININA SOLTA G4C18,1,"164,90",250
BERMUDA FEMININA SOLTA G4C20,1,"139,36",200
BERMUDA FEMININA SOLTA G5C15,1,"199,30",250
BERMUDA FEMININA SOLTA G5C18,1,"127,10",200
BERMUDA FEMININA SOLTA G5C18,1,"127,10",200
BERMUDA LINHO CLASSICA,1,"133,06",180
BERMUDA PALA C/ FIVELA,1,"69,56",100
