DESCRIÇÃO,ESTOQUE,P/CUSTO,P/VENDA
BLAZER FEMININO,2,"124,32","249,00"
BLAZER COLETE FEMININO,1,"144,35","209,00"
BLAZER COLETE LILAS,1,"123,34","210,00"
BLAZER COLETE LINHO BORDADO,1,"103,78","199,00"
BLAZER COLETE LINHO BORDADO,1,"125,36","190,00"
BLAZER JAQUETA FEMININA,2,"136,55","199,00"
BLAZER ELEGANTE,5,"105,3","210,6"
BLAZER DE ALFAIATARIA,3,"145,7",290
BLAZER XADREZ,2,"89,5",180
BLAZER LISTRADO,4,95,190
BLAZER DE LÃ,1,125,250
BLAZER SLIM,3,"135,45","270,9"
BLAZER OVERSIZED,5,80,160
BLAZER DE COURO,2,150,300
