DESCRIÇÃO,ESTOQUE,P/CUSTO,P/VENDA
CALCA ABERTURA PERNA,1,"186,91",250
CALCA FEMININA ALFAIATARIA G4 CROPPED,2,"188,52",270
CALCA FEMININA ALFAIATARIA G5 CROPPED,4,"235,77",300
CALCA FEMININA ALFAIATARIA G5C1,2,"164,90",210
CALCA FEMININA BOOT CUT G3C2,1,"188,52",250
CALCA FEMININA BOOT CUT G4C2,2,"249,95",310
CALCA FEMININA BOOT CUT G5C1,1,"189,31",220
CALCA FEMININA BOOT CUT G5C1,1,"189,31",220
CALCA FEMININA BOOT CUT G5C1,1,"189,31",220
CALCA FEMININA CHINO G5 CROPPED,1,"224,27",300
CALCA FEMININA CLOCHARD G5 C1,1,"136,55",180
CALCA FEMININA CLOCHARD G5 CROPPED,3,"224,27",280
CALCA FEMININA CLOCHARD G5C2,2,"164,90",200
CALCA MOLETINHO PUNHO ELASTICO,1,"84,30",120
CALCA NERVURA MEIO FRENTE,2,"103,79",150
CALCA PALA PESPONTADA C/ BOTOES,1,"67,79",150
CALCA SARJA COS PESPONTOS E BARRA VIRA,1,"103,46",170
