DESCRIÇÃO,ESTOQUE,P/CUSTO,P/VENDA
CAMISA ALONAGADA CAMBRAIA,1,"177,52",220
CAMISA BOLSO DIRETO C/ LAPELA,1,"89,88",150
CAMISA BORDADO CASCATA MANGA,1,"137,62",180
CAMISA BORDADO DIRETO MANGA,1,"188,57",220
CAMISA BORDADO FLORAL,1,"105,40",160
CAMISA BROCHE FLOR,2,"92,48",150
CAMISA CAMBRAIA MANGA BORDADA CAMADA,2,"182,64",220
CAMISA CETIM COM BROCHE,1,"95,07",150
CAMISA CLASSIC BASICA,2,"89,88",140
CAMISA CROPPED C/ ASELHAS,1,"159,78",200
CAMISA CROPPED DETALHES BORDADO,1,"175,21",220
CAMISA CROPPED MANGA CURTA,1,"89,88",150
CAMISA DET PUNHO,1,"88,69",150
CAMISA FEMININA CROPPED,1,"149,35",200
CAMISA FEMININA CROPPED,1,"131,82",200
CAMISA FLOR COSTAS,2,"102,77",150
CAMISA GOLA C/ BABADO,1,"125,93",180
CAMISA GOLA PADRE,1,"110,88",150
CAMISA GOLA PONTA C/ GUIPIR,1,"160,32",200
CAMISA JOGO LISTRAS,1,"103,78",150
CAMISA JOGO LISTRAS,1,"103,78",150
CAMISA LAISE,1,"84,30",140
CAMISA LAPELA DIAGONAL,2,"94,85",150
CAMISA MANGA BUFANTE,1,"155,74",200
CAMISA MANGA MINI FLORAL,1,"137,39",200
CAMISA MARTINGALE E ARGOLAS,1,"94,85",150
CAMISA NERVURAS,1,"94,85",150
CAMISA NERVURAS E PONTO PALITO,1,"89,84",120
CAMISA OVERSIZED,1,"108,08",150
CAMISA OVERSIZED,1,"108,08",150
CAMISA OVERSIZED,1,"108,15",150
CAMISA OVERSIZED BOLSO C  PREGA,1,"108,08",150
