DESCRIÇÃO,ESTOQUE,P/CUSTO,P/VENDA
CROPPED BARRA ARREDONDADA,1,"125,52",180
CROPPED BORDADO BARRADO,2,"103,79",150
CROPPED C  PALA E GOLA C  LASTEX,1,"88,65",140
CROPPED C  PALA E GOLA C  LASTEX,2,"88,69",150
CROPPED CAVADO C  BORDADO,1,"88,65",150
CROPPED CAVADO C  ENTREMEIOS,1,"133,07",180
CROPPED CAVADO C  ENTREMEIOS,1,"133,07",180
CROPPED CAVADO PENCE VERTICAL,1,"96,06",150
CROPPED CAVADO PENCE VERTICAL,1,"96,06",150
CROPPED DECOTE ARREDONDADO,2,"83,90",150
CROPPED DET VIVADO,2,"73,75",160
CROPPED DET. LAISE,3,"144,19",200
CROPPED DETALHE PREGAS,1,"101,74",150
CROPPED DETALHES TRANCADOS,1,"116,12",160
CROPPED ELASTICO COSTAS ALCA BABADO,1,"92,54",150
CROPPED ENTREMEIOS COM NERVURAS,2,"88,65",140
CROPPED ESTAMP. AMARRACAO COSTAS,1,"91,91",150
CROPPED GOLA BLAZER,1,"126,89",180
CROPPED GOLA BLAZER MANGA C/ MARTINGA,1,"88,72",130
CROPPED JABOUR DETALHE COSTAS,1,"99,79",150
CROPPED LAISE C  AMARRACAO,1,"159,90",200
CROPPED LASTEX COSTAS,3,"96,06",140
CROPPED MANGA COM PREGAS,1,"104,51",150
CROPPED MANGA COM PREGAS,1,"104,51",150
CROPPED TRICOT DET CORACAO,1,"159,81",200
