DESCRIÇÃO,ESTOQUE,P/CUSTO,P/VENDA
SAIA CAMADAS C/ GUIPIR VAZADO,1,"73,42","140,00"
SAIA MEDIA,1,"89,33","159,00"
SAIA MIDI,3,"94,35","159,00"
SAIA MIDI BABADO,1,"77,56","140,00"
SAIA MIDI BORD. RECHILIEU BARRA,3,"65,89","120,00"
SAIA MIDI DETALHE NERVURAS VERTICAIS,1,"94,61","160,00"
SAIA MIDI ESTAMP. BOTOES FRONTAL,1,"94,70","170,00"
SAIA MIDI JEANS,1,"69,39","159,00"
SAIA MIDI LAPIS C  FIVELA COS,2,"94,40","180,00"
SAIA MIDI PESPONTADA,2,"80,90","150,00"
SAIA PALA SOBREPOSTA,1,"79,79","160,00"
SAIA PLISSADA,8,"60,6",70
SAIA LÁPIS,15,"55,5",110
SAIA LONGA,12,"40,5",120
