DESCRIÇÃO,ESTOQUE,P/CUSTO,P/VENDA
SHORT ALFAIATARIA C/ CINTO COSTURADO,1,"80,42",120
SHORT ALFAIATARIA C/ CINTO ENCAPADO,1,"116,14",160
SHORT ALFAIATARIA G5 MEDIO,1,"149,35",200
SHORT BASIC AIR FLOW,1,"103,19",160
SHORT BASIC BARRA LARGA,1,"155,31",200
SHORT BASIC BARRA LARGA,1,"155,28",200
SHORT BASIC CORA C/ CINTO ENCAPADO,2,"69,56",120
SHORT BOLSO ASSIMETRICO C/ PESPONTO,1,"101,74",150
SHORT BOLSO C/ PREGAS,1,"79,90",130
SHORT BOLSO CARGO,2,"93,39",150
SHORT BOLSO CHAPADO C/ PESPONTO BORDA,1,"80,41",150
SHORT BOLSO FRONTAL,2,"92,58",130
SHORT CLOCHARD G5 MEDIO,7,"174,32",220
SHORT CLOCHARD G5 MINI,2,"199,33",250
SHORT SOLTO G3 MEDIO,1,"124,35",200
SHORT SOLTO G4 MEDIO,3,"174,32",220
SHORT SOLTO G5 MEDIO,5,"174,32",220
SHORT SOLTO G5 MEDIO,1,"164,90",210
SHORT SOLTO G5 MEDIO,2,"108,20",170
SHORT SOLTO G5 MEDIO,1,"108,20",170
SHORT SOLTO G5 MINI,2,"141,27",200
SHORT SOLTO G5 MINI,1,"144,37",200
SHORT VIVADO 2 CORES,1,"79,90",120
SHORTS NATALIE C/CINTO,2,"54,94",100
SHORTS ROMANTIC BASICO LISO,1,"79,81",120
SHOTR PASSANTE C/ 3 BOTOES,1,"78,59",120
