DESCRIÇÃO,ESTOQUE,P/CUSTO,P/VENDA
T-SHIRT BORDADA MANGA PREGAS,1," 68,90 ",120
T-SHIRT BORDADO FLORAL MANGA E FRENTE,1,"68,90",120
T-SHIRT BORDADO FRENTE,1,"82,19",150
T-SHIRT COM VIES POR CIMA MANGA,1,"68,90",120
T-SHIRT COM VIES POR CIMA MANGA,1,"68,90",120
T-SHIRT CORACOES FRASES,1,"68,46",120
T-SHIRT GOLA PEDRARIA,1,"73,39",150
T-SHIRT GOLA PEDRARIA,1,"73,39",150
T-SHIRT GUIPIR FRONTAL MANGA PREGAS,1,"88,68",160
T-SHIRT LISTRADA C  BORDADO,1,"83,01",160
T-SHIRT MANGA BABADO C/ PEROLAS,2,"81,01",160
T-SHIRT MANGA FRANZIDA,1,"73,75",110
T-SHIRT MANGA LAISE,1,"80,42",120
T-SHIRT MANGA LAISE,1,"80,42",120
T-SHIRT MANGA TRANCA LARGA,1,"57,40",100
T-SHIRT PUNHO CORRENTE ALGODAO,1,"67,41",110
T-SHIRT RECHILIEU,1,"83,01",120
T-SHIRT RECORTE MANDAS C/ PREGAS,1,"67,41",100
T-SHIRT RECORTE MANGA C/ PREGAS DEITADA,1,"68,90",110
T-SHIRT RECORTE MANGA C/ PREGAS DEITADA,1,"67,41",100
T-SHIRT BORDADO FOLHAGEM,1,"84,30",140
T-SHIRT BORDADO FRENTE,1,"84,30",140
T-SHIRT PEDRARIA CAVA E DECOTE,1,"73,75",110
T-SHIRT BEAUTIFUL,1,"94,75",150
T-SHIRT FRENTE CHIFFON ESTAMPADA,1,"73,72",110
T-SHIRT MANGA BARRA ITALIANA C/ BORDADO,1,"55,38",100
T-SHIRT MANGA FRANZIDA PRESUNTO PREGAS,1,"55,41",100
T-SHIRT MANGA PREGAS,1,"55,41",100
T-SHIRT MANGA PREGAS,2,"55,39",100
T-SHIRT MANGA PREGAS,1,"55,38",100
