Descrição,Data,Quantidade,PdCusto,PdVenda,Tecido,Estacao
Calça Verão Tactel,2013-01,2,20,40,Tactel,Verão
Calça Verão Cetim,2013-01,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2013-01,4,15,30,Jeans,Verão
Blusa Verão Seda,2013-01,1,18,36,Seda,Verão
Camisa Verão Algodão,2013-01,2,22,44,Algodão,Verão
Cropped Verão Algodão,2013-01,3,10,20,Algodão,Verão
Saia Verão Viscose,2013-01,4,12,24,Viscose,Verão
Short Verão Jeans,2013-01,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2013-01,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2013-01,2,30,60,Cetim,Verão
Calça Verão Tactel,2013-02,1,20,40,Tactel,Verão
Calça Verão Cetim,2013-02,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2013-02,3,15,30,Jeans,Verão
Blusa Verão Seda,2013-02,2,18,36,Seda,Verão
Camisa Verão Algodão,2013-02,4,22,44,Algodão,Verão
Cropped Verão Algodão,2013-02,3,10,20,Algodão,Verão
Saia Verão Viscose,2013-02,4,12,24,Viscose,Verão
Short Verão Jeans,2013-02,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2013-02,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2013-02,1,30,60,Cetim,Verão
Calça Outono Sarja,2013-03,2,22,44,Sarja,Outono
Calça Outono Algodão,2013-03,3,20,40,Algodão,Outono
Bermuda Outono Jeans,2013-03,1,18,36,Jeans,Outono
Blusa Outono Tricô,2013-03,4,16,32,Tricô,Outono
Camisa Outono Lã,2013-03,2,24,48,Lã,Outono
Cropped Outono Viscose,2013-03,1,12,24,Viscose,Outono
Saia Outono Couro,2013-03,3,14,28,Couro,Outono
Short Outono Sarja,2013-03,4,18,36,Sarja,Outono
T-shirt Outono Algodão,2013-03,2,10,20,Algodão,Outono
Vestido Outono Lã,2013-03,1,28,56,Lã,Outono
Calça Outono Sarja,2013-04,3,22,44,Sarja,Outono
Calça Outono Algodão,2013-04,4,20,40,Algodão,Outono
Bermuda Outono Jeans,2013-04,2,18,36,Jeans,Outono
Blusa Outono Tricô,2013-04,1,16,32,Tricô,Outono
Camisa Outono Lã,2013-04,3,24,48,Lã,Outono
Cropped Outono Viscose,2013-04,2,12,24,Viscose,Outono
Saia Outono Couro,2013-04,4,14,28,Couro,Outono
Short Outono Sarja,2013-04,1,18,36,Sarja,Outono
T-shirt Outono Algodão,2013-04,2,10,20,Algodão,Outono
Vestido Outono Lã,2013-04,3,28,56,Lã,Outono
Calça Inverno Lã,2013-05,2,30,60,Lã,Inverno
Calça Inverno Malha,2013-05,4,28,56,Malha,Inverno
Bermuda Inverno Moletom,2013-05,1,20,40,Moletom,Inverno
Blusa Inverno Lã,2013-05,3,26,52,Lã,Inverno
Camisa Inverno Flanela,2013-05,2,24,48,Flanela,Inverno
Cropped Inverno Algodão,2013-05,1,14,28,Algodão,Inverno
Saia Inverno Lã,2013-05,2,22,44,Lã,Inverno
Short Inverno Moletom,2013-05,3,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2013-05,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2013-05,2,32,64,Lã,Inverno
Calça Inverno Lã,2013-06,1,30,60,Lã,Inverno
Calça Inverno Malha,2013-06,3,28,56,Malha,Inverno
Bermuda Inverno Moletom,2013-06,2,20,40,Moletom,Inverno
Blusa Inverno Lã,2013-06,4,26,52,Lã,Inverno
Camisa Inverno Flanela,2013-06,1,24,48,Flanela,Inverno
Cropped Inverno Algodão,2013-06,3,14,28,Algodão,Inverno
Saia Inverno Lã,2013-06,2,22,44,Lã,Inverno
Short Inverno Moletom,2013-06,4,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2013-06,2,12,24,Algodão,Inverno
Vestido Inverno Lã,2013-06,3,32,64,Lã,Inverno
Calça Inverno Lã,2013-07,4,30,60,Lã,Inverno
Calça Inverno Malha,2013-07,1,28,56,Malha,Inverno
Bermuda Inverno Moletom,2013-07,3,20,40,Moletom,Inverno
Blusa Inverno Lã,2013-07,2,26,52,Lã,Inverno
Camisa Inverno Flanela,2013-07,4,24,48,Flanela,Inverno
Cropped Inverno Algodão,2013-07,1,14,28,Algodão,Inverno
Saia Inverno Lã,2013-07,3,22,44,Lã,Inverno
Short Inverno Moletom,2013-07,2,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2013-07,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2013-07,1,32,64,Lã,Inverno
Calça Primavera Viscose,2013-08,2,20,40,Viscose,Primavera
Calça Primavera Linho,2013-08,3,22,44,Linho,Primavera
Bermuda Primavera Algodão,2013-08,1,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2013-08,4,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2013-08,2,24,48,Viscose,Primavera
Cropped Primavera Linho,2013-08,3,12,24,Linho,Primavera
Saia Primavera Seda,2013-08,4,14,28,Seda,Primavera
Short Primavera Algodão,2013-08,1,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2013-08,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2013-08,3,30,60,Chiffon,Primavera
Calça Primavera Viscose,2013-09,1,20,40,Viscose,Primavera
Calça Primavera Linho,2013-09,2,22,44,Linho,Primavera
Bermuda Primavera Algodão,2013-09,4,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2013-09,3,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2013-09,1,24,48,Viscose,Primavera
Cropped Primavera Linho,2013-09,2,12,24,Linho,Primavera
Saia Primavera Seda,2013-09,4,14,28,Seda,Primavera
Short Primavera Algodão,2013-09,3,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2013-09,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2013-09,1,30,60,Chiffon,Primavera
Calça Primavera Viscose,2013-10,3,20,40,Viscose,Primavera
Calça Primavera Linho,2013-10,4,22,44,Linho,Primavera
Bermuda Primavera Algodão,2013-10,1,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2013-10,2,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2013-10,3,24,48,Viscose,Primavera
Cropped Primavera Linho,2013-10,4,12,24,Linho,Primavera
Saia Primavera Seda,2013-10,1,14,28,Seda,Primavera
Short Primavera Algodão,2013-10,2,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2013-10,3,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2013-10,4,30,60,Chiffon,Primavera
Calça Verão Tactel,2013-11,2,20,40,Tactel,Verão
Calça Verão Cetim,2013-11,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2013-11,4,15,30,Jeans,Verão
Blusa Verão Seda,2013-11,1,18,36,Seda,Verão
Camisa Verão Algodão,2013-11,2,22,44,Algodão,Verão
Cropped Verão Algodão,2013-11,3,10,20,Algodão,Verão
Saia Verão Viscose,2013-11,4,12,24,Viscose,Verão
Short Verão Jeans,2013-11,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2013-11,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2013-11,2,30,60,Cetim,Verão
Calça Verão Tactel,2013-12,1,20,40,Tactel,Verão
Calça Verão Cetim,2013-12,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2013-12,3,15,30,Jeans,Verão
Blusa Verão Seda,2013-12,2,18,36,Seda,Verão
Camisa Verão Algodão,2013-12,4,22,44,Algodão,Verão
Cropped Verão Algodão,2013-12,3,10,20,Algodão,Verão
Saia Verão Viscose,2013-12,4,12,24,Viscose,Verão
Short Verão Jeans,2013-12,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2013-12,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2013-12,1,30,60,Cetim,Verão
Calça Verão Tactel,2014-01,2,20,40,Tactel,Verão
Calça Verão Cetim,2014-01,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2014-01,4,15,30,Jeans,Verão
Blusa Verão Seda,2014-01,1,18,36,Seda,Verão
Camisa Verão Algodão,2014-01,2,22,44,Algodão,Verão
Cropped Verão Algodão,2014-01,3,10,20,Algodão,Verão
Saia Verão Viscose,2014-01,4,12,24,Viscose,Verão
Short Verão Jeans,2014-01,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2014-01,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2014-01,2,30,60,Cetim,Verão
Calça Verão Tactel,2014-02,1,20,40,Tactel,Verão
Calça Verão Cetim,2014-02,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2014-02,3,15,30,Jeans,Verão
Blusa Verão Seda,2014-02,2,18,36,Seda,Verão
Camisa Verão Algodão,2014-02,4,22,44,Algodão,Verão
Cropped Verão Algodão,2014-02,3,10,20,Algodão,Verão
Saia Verão Viscose,2014-02,4,12,24,Viscose,Verão
Short Verão Jeans,2014-02,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2014-02,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2014-02,1,30,60,Cetim,Verão
Calça Outono Sarja,2014-03,2,22,44,Sarja,Outono
Calça Outono Algodão,2014-03,3,20,40,Algodão,Outono
Bermuda Outono Jeans,2014-03,1,18,36,Jeans,Outono
Blusa Outono Tricô,2014-03,4,16,32,Tricô,Outono
Camisa Outono Lã,2014-03,2,24,48,Lã,Outono
Cropped Outono Viscose,2014-03,1,12,24,Viscose,Outono
Saia Outono Couro,2014-03,3,14,28,Couro,Outono
Short Outono Sarja,2014-03,4,18,36,Sarja,Outono
T-shirt Outono Algodão,2014-03,2,10,20,Algodão,Outono
Vestido Outono Lã,2014-03,1,28,56,Lã,Outono
Calça Outono Sarja,2014-04,3,22,44,Sarja,Outono
Calça Outono Algodão,2014-04,4,20,40,Algodão,Outono
Bermuda Outono Jeans,2014-04,2,18,36,Jeans,Outono
Blusa Outono Tricô,2014-04,1,16,32,Tricô,Outono
Camisa Outono Lã,2014-04,3,24,48,Lã,Outono
Cropped Outono Viscose,2014-04,2,12,24,Viscose,Outono
Saia Outono Couro,2014-04,4,14,28,Couro,Outono
Short Outono Sarja,2014-04,1,18,36,Sarja,Outono
T-shirt Outono Algodão,2014-04,2,10,20,Algodão,Outono
Vestido Outono Lã,2014-04,3,28,56,Lã,Outono
Calça Inverno Lã,2014-05,2,30,60,Lã,Inverno
Calça Inverno Malha,2014-05,4,28,56,Malha,Inverno
Bermuda Inverno Moletom,2014-05,1,20,40,Moletom,Inverno
Blusa Inverno Lã,2014-05,3,26,52,Lã,Inverno
Camisa Inverno Flanela,2014-05,2,24,48,Flanela,Inverno
Cropped Inverno Algodão,2014-05,1,14,28,Algodão,Inverno
Saia Inverno Lã,2014-05,2,22,44,Lã,Inverno
Short Inverno Moletom,2014-05,3,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2014-05,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2014-05,2,32,64,Lã,Inverno
Calça Inverno Lã,2014-06,1,30,60,Lã,Inverno
Calça Inverno Malha,2014-06,3,28,56,Malha,Inverno
Bermuda Inverno Moletom,2014-06,2,20,40,Moletom,Inverno
Blusa Inverno Lã,2014-06,4,26,52,Lã,Inverno
Camisa Inverno Flanela,2014-06,1,24,48,Flanela,Inverno
Cropped Inverno Algodão,2014-06,3,14,28,Algodão,Inverno
Saia Inverno Lã,2014-06,2,22,44,Lã,Inverno
Short Inverno Moletom,2014-06,4,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2014-06,2,12,24,Algodão,Inverno
Vestido Inverno Lã,2014-06,3,32,64,Lã,Inverno
Calça Inverno Lã,2014-07,4,30,60,Lã,Inverno
Calça Inverno Malha,2014-07,1,28,56,Malha,Inverno
Bermuda Inverno Moletom,2014-07,3,20,40,Moletom,Inverno
Blusa Inverno Lã,2014-07,2,26,52,Lã,Inverno
Camisa Inverno Flanela,2014-07,4,24,48,Flanela,Inverno
Cropped Inverno Algodão,2014-07,1,14,28,Algodão,Inverno
Saia Inverno Lã,2014-07,3,22,44,Lã,Inverno
Short Inverno Moletom,2014-07,2,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2014-07,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2014-07,1,32,64,Lã,Inverno
Calça Primavera Viscose,2014-08,2,20,40,Viscose,Primavera
Calça Primavera Linho,2014-08,3,22,44,Linho,Primavera
Bermuda Primavera Algodão,2014-08,1,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2014-08,4,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2014-08,2,24,48,Viscose,Primavera
Cropped Primavera Linho,2014-08,3,12,24,Linho,Primavera
Saia Primavera Seda,2014-08,4,14,28,Seda,Primavera
Short Primavera Algodão,2014-08,1,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2014-08,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2014-08,3,30,60,Chiffon,Primavera
Calça Primavera Viscose,2014-09,1,20,40,Viscose,Primavera
Calça Primavera Linho,2014-09,2,22,44,Linho,Primavera
Bermuda Primavera Algodão,2014-09,4,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2014-09,3,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2014-09,1,24,48,Viscose,Primavera
Cropped Primavera Linho,2014-09,2,12,24,Linho,Primavera
Saia Primavera Seda,2014-09,4,14,28,Seda,Primavera
Short Primavera Algodão,2014-09,3,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2014-09,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2014-09,1,30,60,Chiffon,Primavera
Calça Primavera Viscose,2014-10,3,20,40,Viscose,Primavera
Calça Primavera Linho,2014-10,4,22,44,Linho,Primavera
Bermuda Primavera Algodão,2014-10,1,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2014-10,2,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2014-10,3,24,48,Viscose,Primavera
Cropped Primavera Linho,2014-10,4,12,24,Linho,Primavera
Saia Primavera Seda,2014-10,1,14,28,Seda,Primavera
Short Primavera Algodão,2014-10,2,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2014-10,3,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2014-10,4,30,60,Chiffon,Primavera
Calça Verão Tactel,2014-11,2,20,40,Tactel,Verão
Calça Verão Cetim,2014-11,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2014-11,4,15,30,Jeans,Verão
Blusa Verão Seda,2014-11,1,18,36,Seda,Verão
Camisa Verão Algodão,2014-11,2,22,44,Algodão,Verão
Cropped Verão Algodão,2014-11,3,10,20,Algodão,Verão
Saia Verão Viscose,2014-11,4,12,24,Viscose,Verão
Short Verão Jeans,2014-11,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2014-11,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2014-11,2,30,60,Cetim,Verão
Calça Verão Tactel,2014-12,1,20,40,Tactel,Verão
Calça Verão Cetim,2014-12,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2014-12,3,15,30,Jeans,Verão
Blusa Verão Seda,2014-12,2,18,36,Seda,Verão
Camisa Verão Algodão,2014-12,4,22,44,Algodão,Verão
Cropped Verão Algodão,2014-12,3,10,20,Algodão,Verão
Saia Verão Viscose,2014-12,4,12,24,Viscose,Verão
Short Verão Jeans,2014-12,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2014-12,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2014-12,1,30,60,Cetim,Verão
Calça Verão Tactel,2015-01,2,20,40,Tactel,Verão
Calça Verão Cetim,2015-01,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2015-01,4,15,30,Jeans,Verão
Blusa Verão Seda,2015-01,1,18,36,Seda,Verão
Camisa Verão Algodão,2015-01,2,22,44,Algodão,Verão
Cropped Verão Algodão,2015-01,3,10,20,Algodão,Verão
Saia Verão Viscose,2015-01,4,12,24,Viscose,Verão
Short Verão Jeans,2015-01,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2015-01,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2015-01,2,30,60,Cetim,Verão
Calça Verão Tactel,2015-02,1,20,40,Tactel,Verão
Calça Verão Cetim,2015-02,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2015-02,3,15,30,Jeans,Verão
Blusa Verão Seda,2015-02,2,18,36,Seda,Verão
Camisa Verão Algodão,2015-02,4,22,44,Algodão,Verão
Cropped Verão Algodão,2015-02,3,10,20,Algodão,Verão
Saia Verão Viscose,2015-02,4,12,24,Viscose,Verão
Short Verão Jeans,2015-02,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2015-02,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2015-02,1,30,60,Cetim,Verão
Calça Outono Sarja,2015-03,2,22,44,Sarja,Outono
Calça Outono Algodão,2015-03,3,20,40,Algodão,Outono
Bermuda Outono Jeans,2015-03,1,18,36,Jeans,Outono
Blusa Outono Tricô,2015-03,4,16,32,Tricô,Outono
Camisa Outono Lã,2015-03,2,24,48,Lã,Outono
Cropped Outono Viscose,2015-03,1,12,24,Viscose,Outono
Saia Outono Couro,2015-03,3,14,28,Couro,Outono
Short Outono Sarja,2015-03,4,18,36,Sarja,Outono
T-shirt Outono Algodão,2015-03,2,10,20,Algodão,Outono
Vestido Outono Lã,2015-03,1,28,56,Lã,Outono
Calça Outono Sarja,2015-04,3,22,44,Sarja,Outono
Calça Outono Algodão,2015-04,4,20,40,Algodão,Outono
Bermuda Outono Jeans,2015-04,2,18,36,Jeans,Outono
Blusa Outono Tricô,2015-04,1,16,32,Tricô,Outono
Camisa Outono Lã,2015-04,3,24,48,Lã,Outono
Cropped Outono Viscose,2015-04,2,12,24,Viscose,Outono
Saia Outono Couro,2015-04,4,14,28,Couro,Outono
Short Outono Sarja,2015-04,1,18,36,Sarja,Outono
T-shirt Outono Algodão,2015-04,2,10,20,Algodão,Outono
Vestido Outono Lã,2015-04,3,28,56,Lã,Outono
Calça Inverno Lã,2015-05,2,30,60,Lã,Inverno
Calça Inverno Malha,2015-05,4,28,56,Malha,Inverno
Bermuda Inverno Moletom,2015-05,1,20,40,Moletom,Inverno
Blusa Inverno Lã,2015-05,3,26,52,Lã,Inverno
Camisa Inverno Flanela,2015-05,2,24,48,Flanela,Inverno
Cropped Inverno Algodão,2015-05,1,14,28,Algodão,Inverno
Saia Inverno Lã,2015-05,2,22,44,Lã,Inverno
Short Inverno Moletom,2015-05,3,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2015-05,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2015-05,2,32,64,Lã,Inverno
Calça Inverno Lã,2015-06,1,30,60,Lã,Inverno
Calça Inverno Malha,2015-06,3,28,56,Malha,Inverno
Bermuda Inverno Moletom,2015-06,2,20,40,Moletom,Inverno
Blusa Inverno Lã,2015-06,4,26,52,Lã,Inverno
Camisa Inverno Flanela,2015-06,1,24,48,Flanela,Inverno
Cropped Inverno Algodão,2015-06,3,14,28,Algodão,Inverno
Saia Inverno Lã,2015-06,2,22,44,Lã,Inverno
Short Inverno Moletom,2015-06,4,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2015-06,2,12,24,Algodão,Inverno
Vestido Inverno Lã,2015-06,3,32,64,Lã,Inverno
Calça Inverno Lã,2015-07,4,30,60,Lã,Inverno
Calça Inverno Malha,2015-07,1,28,56,Malha,Inverno
Bermuda Inverno Moletom,2015-07,3,20,40,Moletom,Inverno
Blusa Inverno Lã,2015-07,2,26,52,Lã,Inverno
Camisa Inverno Flanela,2015-07,4,24,48,Flanela,Inverno
Cropped Inverno Algodão,2015-07,1,14,28,Algodão,Inverno
Saia Inverno Lã,2015-07,3,22,44,Lã,Inverno
Short Inverno Moletom,2015-07,2,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2015-07,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2015-07,1,32,64,Lã,Inverno
Calça Primavera Viscose,2015-08,2,20,40,Viscose,Primavera
Calça Primavera Linho,2015-08,3,22,44,Linho,Primavera
Bermuda Primavera Algodão,2015-08,1,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2015-08,4,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2015-08,2,24,48,Viscose,Primavera
Cropped Primavera Linho,2015-08,3,12,24,Linho,Primavera
Saia Primavera Seda,2015-08,4,14,28,Seda,Primavera
Short Primavera Algodão,2015-08,1,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2015-08,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2015-08,3,30,60,Chiffon,Primavera
Calça Primavera Viscose,2015-09,1,20,40,Viscose,Primavera
Calça Primavera Linho,2015-09,2,22,44,Linho,Primavera
Bermuda Primavera Algodão,2015-09,4,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2015-09,3,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2015-09,1,24,48,Viscose,Primavera
Cropped Primavera Linho,2015-09,2,12,24,Linho,Primavera
Saia Primavera Seda,2015-09,4,14,28,Seda,Primavera
Short Primavera Algodão,2015-09,3,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2015-09,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2015-09,1,30,60,Chiffon,Primavera
Calça Primavera Viscose,2015-10,4,20,40,Viscose,Primavera
Calça Primavera Linho,2015-10,1,22,44,Linho,Primavera
Bermuda Primavera Algodão,2015-10,3,18,36,Algodão,Primavera
